Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Defense-Military,Operation and Maintenance,"Environmental Restoration, Defense-Wide",97-0810,No Year,No Year,"97-0810 /X - Environmental Restoration, Defense-Wide",$1.3M,$1.3M,100.0%
Department of Defense-Military,Operation and Maintenance,Office of the Inspector General,97-0107,FY2016-FY2017,2017,97-0107 16/17 - Office of the Inspector General,$0.1M,$1.1M,4.5%
Department of Defense-Military,Operation and Maintenance,Office of the Inspector General,97-0107,FY2015-FY2017,2017,97-0107 15/17 - Office of the Inspector General,$1.0M,$1.0M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Air Force",57-3300,FY2015-FY2018,2018,"57-3300 15/18 - Military Construction, Air Force",$0.8M,$0.9M,83.3%
Department of Defense-Military,Procurement,"Chemical Agents and Munitions Destruction, Defense",97-0390,FY2015-FY2017,2017,"97-0390 15/17 - Chemical Agents and Munitions Destruction, Defense",$0.0M,$0.9M,0.0%
Department of Defense-Military,Family Housing,"Homeowners Assistance Fund, Recovery Act",97-4091,No Year,No Year,"97-4091 /X - Homeowners Assistance Fund, Recovery Act",$0.8M,$0.8M,100.0%
Department of Defense-Military,Military Construction,"Foreign Currency Fluctuations, Construction",97-0803,No Year,No Year,"97-0803 /X - Foreign Currency Fluctuations, Construction",$0.7M,$0.7M,100.0%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Army National Guard",21-2065,No Year,No Year,"21-2065 /X - Operation and Maintenance, Army National Guard",$0.7M,$0.7M,100.0%
Department of Defense-Military,Procurement,"Chemical Agents and Munitions Destruction, Defense",97-0390,No Year,No Year,"97-0390 /X - Chemical Agents and Munitions Destruction, Defense",$0.7M,$0.7M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Navy",17-1205,No Year,No Year,"17-1205 /X - Military Construction, Navy",$0.5M,$0.5M,100.0%
Department of Defense-Military,Military Personnel,"Military Personnel, Navy",17-1453,No Year,No Year,"17-1453 /X - Military Personnel, Navy",$0.4M,$0.4M,99.8%
Department of Defense-Military,Military Personnel,"Military Personnel, Army",21-2010,No Year,No Year,"21-2010 /X - Military Personnel, Army",$0.3M,$0.3M,100.0%
Department of Defense-Military,Military Personnel,"Military Personnel, Air Force",57-3500,No Year,No Year,"57-3500 /X - Military Personnel, Air Force",$0.3M,$0.3M,100.0%
Department of Defense-Military,Operation and Maintenance,"Overseas Humanitarian, Disaster, and Civic Aid",97-0819,No Year,No Year,"97-0819 /X - Overseas Humanitarian, Disaster, and Civic Aid",$0.3M,$0.3M,100.0%
Department of Defense-Military,Military Personnel,"Military Personnel, Marine Corps",17-1105,No Year,No Year,"17-1105 /X - Military Personnel, Marine Corps",$0.2M,$0.2M,100.0%
Department of Defense-Military,Military Construction,Ford Island Improvement Account,17-5562,No Year,No Year,17-5562 /X - Ford Island Improvement Account,$0.1M,$0.1M,100.0%
Department of Defense-Military,Military Construction,"Military Construction, Army",21-2050,No Year,No Year,"21-2050 /X - Military Construction, Army",$0.1M,$0.1M,100.0%
Department of Defense-Military,Operation and Maintenance,"National Science Center, Army",21-5286,No Year,No Year,"21-5286 /X - National Science Center, Army",$0.1M,$0.1M,100.0%
Department of Defense-Military,"Research, Development, Test, and Evaluation","Tanker Replacement Transfer Fund, Air Force",57-3024,No Year,No Year,"57-3024 /X - Tanker Replacement Transfer Fund, Air Force",$0.1M,$0.1M,100.0%
Department of Defense-Military,Family Housing,"Family Housing Construction, Army",21-0720,FY2013-FY2017,2017,"21-0720 13/17 - Family Housing Construction, Army",$0.0M,$0.0M,78.5%
Department of Defense-Military,Family Housing,"Family Housing Construction, Navy and Marine Corps",17-0730,No Year,No Year,"17-0730 /X - Family Housing Construction, Navy and Marine Corps",$0.0M,$0.0M,100.0%
Department of Defense-Military,Family Housing,Military Unaccompanied Housing Improvement Fund,97-0836,No Year,No Year,97-0836 /X - Military Unaccompanied Housing Improvement Fund,$0.0M,$0.0M,100.0%
Department of Defense-Military,International Reconstruction and Other Assistance,Operating Expenses of the Coalition Provisional Authority,21-2090,No Year,No Year,21-2090 /X - Operating Expenses of the Coalition Provisional Authority,$0.0M,$0.0M,0.0%
Department of Defense-Military,Operation and Maintenance,"Ship Modernization, Operations and Sustainment Fund",17-0513,FY2014-FY2021,2021,"17-0513 14/21 - Ship Modernization, Operations and Sustainment Fund",$0.0M,$0.0M,0.0%
Department of Defense-Military,Operation and Maintenance,"Ship Modernization, Operations and Sustainment Fund",17-0513,FY2015-FY2021,2021,"17-0513 15/21 - Ship Modernization, Operations and Sustainment Fund",$0.0M,$0.0M,0.0%
Department of Defense-Military,Operation and Maintenance,"Environmental Restoration, Navy",17-0810,No Year,No Year,"17-0810 /X - Environmental Restoration, Navy",$0.0M,$0.0M,100.0%
Department of Defense-Military,Operation and Maintenance,"Environmental Restoration, Army",21-0810,No Year,No Year,"21-0810 /X - Environmental Restoration, Army",$0.0M,$0.0M,0.0%
Department of Defense-Military,Operation and Maintenance,"Environmental Restoration, Air Force",57-0810,No Year,No Year,"57-0810 /X - Environmental Restoration, Air Force",$0.0M,$0.0M,0.0%
Department of Defense-Military,Operation and Maintenance,"Environmental Restoration, Formerly Used Defense Sites",97-0811,No Year,No Year,"97-0811 /X - Environmental Restoration, Formerly Used Defense Sites",$0.0M,$0.0M,100.0%
Department of Defense-Military,Operation and Maintenance,"Payment to Kaho'olawe Island Conveyance, Remediation, and Enviro",17-1236,No Year,No Year,"17-1236 /X - Payment to Kaho'olawe Island Conveyance, Remediation, and Enviro",$0.0M,$0.0M,100.0%
Department of Defense-Military,Operation and Maintenance,"Operation and Maintenance, Army",69-21-2020,No Year,No Year,"69-21-2020 /X - Operation and Maintenance, Army",$0.0M,$0.0M,0.0%
Department of Defense-Military,Operation and Maintenance,"Kaho' Olawe Island Conveyance, Remediation, and Environmental Re",17-5185,No Year,No Year,"17-5185 /X - Kaho' Olawe Island Conveyance, Remediation, and Environmental Re",$0.0M,$0.0M,100.0%
Department of Defense-Military,Operation and Maintenance,Department of Defense Korean War Commemoration Fund,21-5752,No Year,No Year,21-5752 /X - Department of Defense Korean War Commemoration Fund,$0.0M,$0.0M,0.0%
Department of Defense-Military,Procurement,"Shipbuilding and Conversion, Navy",17-1611,No Year,No Year,"17-1611 /X - Shipbuilding and Conversion, Navy",$0.0M,$0.0M,100.0%
Department of Defense-Military,Procurement,"Missile Procurement, Air Force",57-3020,No Year,No Year,"57-3020 /X - Missile Procurement, Air Force",$0.0M,$0.0M,100.0%
Department of Defense-Military,Trust Funds,"Bequest of Major General Fred C. Ainsworth, Library, Walter Reed",21-8063,No Year,No Year,"21-8063 /X - Bequest of Major General Fred C. Ainsworth, Library, Walter Reed",$0.0M,$0.0M,100.0%
Department of Defense-Military,Operation and Maintenance,Counterterrorism Partnerships Fund,97-0145,FY2017-FY2018,2018,97-0145 17/18 - Counterterrorism Partnerships Fund,$-220.0M,$-220.0M,100.0%
Department of Education,Office of Federal Student Aid,Federal Direct Student Loan Program Financing Account,91-4253,No Year,No Year,91-4253 /X - Federal Direct Student Loan Program Financing Account,"$43,910.8M","$204,153.7M",21.5%
Department of Education,Office of Federal Student Aid,Federal Direct Student Loan Program Account,91-0243,FY2017,2017,91-0243 /17 - Federal Direct Student Loan Program Account,"$9,595.5M","$45,014.8M",21.3%
Department of Education,Office of Federal Student Aid,Student Financial Assistance,91-0200,FY2017-FY2018,2018,91-0200 17/18 - Student Financial Assistance,"$22,799.6M","$31,198.6M",73.1%
Department of Education,Office of Federal Student Aid,Federal Family Education Loan Program Financing Account,91-4251,No Year,No Year,91-4251 /X - Federal Family Education Loan Program Financing Account,"$21,012.6M","$28,790.3M",73.0%
Department of Education,Office of Federal Student Aid,"Federal Family Education Loan Program, Program Account",91-0231,FY2017,2017,"91-0231 /17 - Federal Family Education Loan Program, Program Account",$0.0M,"$11,155.8M",0.0%
Department of Education,Office of Elementary and Secondary Education,Education for the Disadvantaged,91-0900,FY2017,2017,91-0900 /17 - Education for the Disadvantaged,$5.6M,"$10,917.8M",0.1%
Department of Education,Office of Special Education and Rehabilitative Services,Special Education,91-0300,FY2017,2017,91-0300 /17 - Special Education,$54.5M,"$9,518.1M",0.6%
Department of Education,Office of Federal Student Aid,Student Financial Assistance,91-0200,FY2016-FY2017,2017,91-0200 16/17 - Student Financial Assistance,"$7,483.2M","$7,495.3M",99.8%
Department of Education,Office of Elementary and Secondary Education,Education for the Disadvantaged,91-0900,FY2017-FY2018,2018,91-0900 17/18 - Education for the Disadvantaged,$255.7M,"$5,226.0M",4.9%
Department of Education,Office of Special Education and Rehabilitative Services,Special Education,91-0300,FY2017-FY2018,2018,91-0300 17/18 - Special Education,$1.9M,"$3,546.3M",0.1%
Department of Education,Office of Special Education and Rehabilitative Services,Rehabilitation Services,91-0301,FY2017,2017,91-0301 /17 - Rehabilitation Services,$168.5M,"$3,301.1M",5.1%
Department of Education,Office of Elementary and Secondary Education,School Improvement Programs,91-1000,FY2017-FY2018,2018,91-1000 17/18 - School Improvement Programs,$247.3M,"$2,588.0M",9.6%
Department of Education,Office of Postsecondary Education,Higher Education,91-0201,FY2017,2017,91-0201 /17 - Higher Education,$669.0M,"$2,293.0M",29.2%
Department of Education,Office of Federal Student Aid,Temporary Student Loan Purchase Authority Financing Account,91-4453,No Year,No Year,91-4453 /X - Temporary Student Loan Purchase Authority Financing Account,"$1,859.5M","$1,928.4M",96.4%
Department of Education,Office of Elementary and Secondary Education,School Improvement Programs,91-1000,FY2017,2017,91-1000 /17 - School Improvement Programs,$88.6M,"$1,820.6M",4.9%
Department of Education,Office of Federal Student Aid,Student Aid Administration,91-0202,FY2017-FY2018,2018,91-0202 17/18 - Student Aid Administration,$195.5M,"$1,577.1M",12.4%
Department of Education,Office of Federal Student Aid,Federal Student Loan Reserve Fund,91-4257,No Year,No Year,91-4257 /X - Federal Student Loan Reserve Fund,"$1,427.9M","$1,440.4M",99.1%
Department of Education,Office of Elementary and Secondary Education,Impact Aid,91-0102,FY2017,2017,91-0102 /17 - Impact Aid,$249.7M,"$1,306.4M",19.1%
Department of Education,Office of Federal Student Aid,Temporary Student Loan Purchase Authority Standard Put Financing,91-4449,No Year,No Year,91-4449 /X - Temporary Student Loan Purchase Authority Standard Put Financing,"$1,089.9M","$1,138.0M",95.8%
Department of Education,Office of Postsecondary Education,Historically Black College and University Capital Financing Dire,91-4255,No Year,No Year,91-4255 /X - Historically Black College and University Capital Financing Dire,$705.8M,$960.0M,73.5%
Department of Education,"Office of Career, Technical, and Adult Education","Career, Technical and Adult Education",91-0400,FY2017-FY2018,2018,"91-0400 17/18 - Career, Technical and Adult Education",$26.7M,$929.7M,2.9%
Department of Education,"Office of Career, Technical, and Adult Education","Career, Technical and Adult Education",91-0400,FY2017,2017,"91-0400 /17 - Career, Technical and Adult Education",$14.1M,$791.0M,1.8%
Department of Education,Office of Innovation and Improvement,Innovation and Improvement,91-0204,FY2017,2017,91-0204 /17 - Innovation and Improvement,$623.0M,$789.6M,78.9%
Department of Education,Office of English Language Acquisition,English Language Acquisition,91-1300,FY2017-FY2018,2018,91-1300 17/18 - English Language Acquisition,$28.1M,$737.4M,3.8%
Department of Education,Office of Elementary and Secondary Education,Education for the Disadvantaged,91-0900,FY2016-FY2017,2017,91-0900 16/17 - Education for the Disadvantaged,$195.4M,$661.4M,29.5%
Department of Education,Institute of Education Sciences,Institute of Education Sciences,91-1100,FY2017-FY2018,2018,91-1100 17/18 - Institute of Education Sciences,$146.9M,$606.0M,24.2%
Department of Education,Departmental Management,Program Administration,91-0800,FY2017,2017,91-0800 /17 - Program Administration,$73.1M,$436.7M,16.7%
Department of Education,Office of Innovation and Improvement,Innovation and Improvement,91-0204,FY2016-FY2017,2017,91-0204 16/17 - Innovation and Improvement,$0.1M,$354.3M,0.0%
Department of Education,Office of Postsecondary Education,Howard University,91-0603,FY2017,2017,91-0603 /17 - Howard University,$0.0M,$218.4M,0.0%
Department of Education,Office of Federal Student Aid,Federal Family Education Loan Liquidating Account,91-0230,No Year,No Year,91-0230 /X - Federal Family Education Loan Liquidating Account,$72.7M,$202.7M,35.9%
Department of Education,Office of Postsecondary Education,Historically Black College and University Capital Financing,91-1901,FY2017,2017,91-1901 /17 - Historically Black College and University Capital Financing,$0.1M,$201.4M,0.1%
Department of Education,Office of Elementary and Secondary Education,Indian Education,91-0101,FY2017,2017,91-0101 /17 - Indian Education,$58.7M,$164.9M,35.6%
Department of Education,Office of Federal Student Aid,TEACH Grant Program Account,91-0206,FY2017,2017,91-0206 /17 - TEACH Grant Program Account,$0.0M,$153.3M,0.0%
Department of Education,Office of Special Education and Rehabilitative Services,Gallaudet University,91-0602,FY2017,2017,91-0602 /17 - Gallaudet University,$0.0M,$121.3M,0.0%
Department of Education,Office of Postsecondary Education,Higher Education,91-0201,FY2016-FY2017,2017,91-0201 16/17 - Higher Education,$0.4M,$120.2M,0.3%
Department of Education,Office of Federal Student Aid,TEACH Grant Financing Account,91-4290,No Year,No Year,91-4290 /X - TEACH Grant Financing Account,$60.3M,$119.6M,50.4%
Department of Education,Departmental Management,Office for Civil Rights,91-0700,FY2017,2017,91-0700 /17 - Office for Civil Rights,$13.0M,$108.5M,11.9%
Department of Education,Office of Elementary and Secondary Education,School Improvement Programs,91-1000,FY2016-FY2017,2017,91-1000 16/17 - School Improvement Programs,$50.5M,$103.2M,48.9%
Department of Education,Office of Innovation and Improvement,Innovation and Improvement,91-0204,FY2017-FY2018,2018,91-0204 17/18 - Innovation and Improvement,$98.9M,$100.0M,98.9%
Department of Education,Office of Innovation and Improvement,Innovation and Improvement,91-0204,No Year,No Year,91-0204 /X - Innovation and Improvement,$43.5M,$80.2M,54.3%
Department of Education,Office of Elementary and Secondary Education,Safe Schools and Citizenship Education,91-0203,FY2017,2017,91-0203 /17 - Safe Schools and Citizenship Education,$4.2M,$78.0M,5.3%
Department of Education,Office of Elementary and Secondary Education,Safe Schools and Citizenship Education,91-0203,FY2017-FY2018,2018,91-0203 17/18 - Safe Schools and Citizenship Education,$72.8M,$73.3M,99.3%
Department of Education,Office of Elementary and Secondary Education,Safe Schools and Citizenship Education,91-0203,FY2016-FY2017,2017,91-0203 16/17 - Safe Schools and Citizenship Education,$0.0M,$72.7M,0.0%
Department of Education,Office of Federal Student Aid,Temporary Student Loan Purchase Authority Conduit Financing Acct,91-4459,No Year,No Year,91-4459 /X - Temporary Student Loan Purchase Authority Conduit Financing Acct,$62.2M,$71.0M,87.7%
