Agency,Bureau,Account,Account_Number,Period_of_Performance,Expiration_Year,TAFS,Unobligated Balance (Line 2490),Budget Authority (Line 2500),Percentage Unobligated
Department of Health and Human Services,Health Resources and Services Administration,Health Care Systems,75-0357,No Year,No Year,75-0357 /X - Health Care Systems,$1.0M,$1.1M,98.5%
Department of Health and Human Services,Program Support Center,"Gifts and Donations, Indian Health Service",75-8511,No Year,No Year,"75-8511 /X - Gifts and Donations, Indian Health Service",$0.8M,$1.1M,72.3%
Department of Health and Human Services,Agency for Healthcare Research and Quality,Healthcare Research and Quality,75-1700,FY2014-FY2015,2015,75-1700 14/15 - Healthcare Research and Quality,$0.7M,$1.0M,74.1%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2007-FY2016,2016,75-0516 07/16 - State Grants and Demonstrations,$0.7M,$0.9M,74.5%
Department of Health and Human Services,Program Support Center,Scientific Activities Overseas,75-1102,No Year,No Year,75-1102 /X - Scientific Activities Overseas,$0.9M,$0.9M,100.0%
Department of Health and Human Services,Departmental Management,Health Insurance Reform Implementation Fund,24-75-0119,No Year,No Year,24-75-0119 /X - Health Insurance Reform Implementation Fund,$0.8M,$0.8M,100.0%
Department of Health and Human Services,Food and Drug Administration,Salaries and Expenses,75-0600,FY2014-FY2016,2016,75-0600 14/16 - Salaries and Expenses,$0.4M,$0.7M,64.8%
Department of Health and Human Services,Food and Drug Administration,Salaries and Expenses,75-0600,FY2013-FY2015,2015,75-0600 13/15 - Salaries and Expenses,$0.4M,$0.6M,66.5%
Department of Health and Human Services,Administration for Children and Families,Refugee and Entrant Assistance,75-1503,FY2012-FY2014,2014,75-1503 12/14 - Refugee and Entrant Assistance,$0.5M,$0.5M,97.0%
Department of Health and Human Services,Program Support Center,"Gifts and Donations, Agency for Healthcare Research and Quality",75-8512,No Year,No Year,"75-8512 /X - Gifts and Donations, Agency for Healthcare Research and Quality",$0.1M,$0.4M,30.0%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Patient Protection and Affordable Care - Program Management,75-0509,FY2014,2014,75-0509 /14 - Patient Protection and Affordable Care - Program Management,$0.2M,$0.3M,56.6%
Department of Health and Human Services,Food and Drug Administration,Salaries and Expenses,75-0600,FY2012-FY2014,2014,75-0600 12/14 - Salaries and Expenses,$0.0M,$0.3M,0.0%
Department of Health and Human Services,Health Resources and Services Administration,Health Education Assistance Loans Liquidating Account,75-4305,No Year,No Year,75-4305 /X - Health Education Assistance Loans Liquidating Account,$0.0M,$0.3M,0.0%
Department of Health and Human Services,Program Support Center,"Patients' Benefit Fund, National Institutes of Health",75-8888,No Year,No Year,"75-8888 /X - Patients' Benefit Fund, National Institutes of Health",$0.3M,$0.3M,96.1%
Department of Health and Human Services,Program Support Center,"Patients' Benefit Fund, Public Health Service Hospitals",75-8889,No Year,No Year,"75-8889 /X - Patients' Benefit Fund, Public Health Service Hospitals",$0.3M,$0.3M,100.0%
Department of Health and Human Services,Program Support Center,Gifts and Donations Substance Abuse and Mental Health Administra,75-8513,No Year,No Year,75-8513 /X - Gifts and Donations Substance Abuse and Mental Health Administra,$0.2M,$0.2M,98.9%
Department of Health and Human Services,Agency for Healthcare Research and Quality,Healthcare Research and Quality,75-1700,FY2013-FY2014,2014,75-1700 13/14 - Healthcare Research and Quality,$0.0M,$0.1M,0.0%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,State Grants and Demonstrations,75-0516,FY2008-FY2016,2016,75-0516 08/16 - State Grants and Demonstrations,$0.0M,$0.1M,66.1%
Department of Health and Human Services,Program Support Center,Public Health Emergency Fund,75-1104,No Year,No Year,75-1104 /X - Public Health Emergency Fund,$0.1M,$0.1M,100.0%
Department of Health and Human Services,Program Support Center,"Unconditional Gift Fund, Health Resources and Services Administr",75-8249,No Year,No Year,"75-8249 /X - Unconditional Gift Fund, Health Resources and Services Administr",$0.1M,$0.1M,100.0%
Department of Health and Human Services,Administration for Children and Families,Low Income Home Energy Assistance,75-1502,No Year,No Year,75-1502 /X - Low Income Home Energy Assistance,$0.0M,$0.0M,0.0%
Department of Health and Human Services,Administration for Children and Families,Contingency Fund,75-1522,FY2014,2014,75-1522 /14 - Contingency Fund,$0.0M,$0.0M,0.0%
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Payments for Credits against Health Care Contributions,75-0513,No Year,No Year,75-0513 /X - Payments for Credits against Health Care Contributions,$0.0M,$0.0M,0.0%
Department of Health and Human Services,Departmental Management,Prevention and Public Health Fund,75-0116,FY2014,2014,75-0116 /14 - Prevention and Public Health Fund,$0.0M,$0.0M,0.0%
Department of Health and Human Services,Departmental Management,Public Health and Social Services Emergency Fund,28-75-0140,No Year,No Year,28-75-0140 /X - Public Health and Social Services Emergency Fund,$0.0M,$0.0M,100.0%
Department of Health and Human Services,Program Support Center,"Gifts and Donations, Administration on Aging",75-8510,No Year,No Year,"75-8510 /X - Gifts and Donations, Administration on Aging",$0.0M,$0.0M,100.0%
Department of Health and Human Services,Program Support Center,Miscellaneous Trust Funds,75-8514,No Year,No Year,75-8514 /X - Miscellaneous Trust Funds,$0.0M,$0.0M,100.0%
Department of Homeland Security,Federal Emergency Management Agency,Disaster Relief Fund,70-0702,No Year,No Year,70-0702 /X - Disaster Relief Fund,"$8,988.6M","$15,176.6M",59.2%
Department of Homeland Security,Federal Emergency Management Agency,National Flood Insurance Fund,70-4236,No Year,No Year,70-4236 /X - National Flood Insurance Fund,"$8,021.3M","$9,957.1M",80.6%
Department of Homeland Security,U.S. Customs and Border Protection,"Salaries and Expenses, Customs and Border Protection",70-0530,FY2014,2014,"70-0530 /14 - Salaries and Expenses, Customs and Border Protection","$1,172.7M","$9,659.1M",12.1%
Department of Homeland Security,United States Coast Guard,Operating Expenses,70-0610,FY2014,2014,70-0610 /14 - Operating Expenses,"$1,017.7M","$7,269.7M",14.0%
Department of Homeland Security,Immigration and Customs Enforcement,"Salaries and Expenses, Immigration and Customs Enforcement",70-0540,FY2014,2014,"70-0540 /14 - Salaries and Expenses, Immigration and Customs Enforcement",$691.9M,"$5,721.9M",12.1%
Department of Homeland Security,Transportation Security Administration,Aviation Security,70-0550,FY2014-FY2015,2015,70-0550 14/15 - Aviation Security,$975.2M,"$4,943.7M",19.7%
Department of Homeland Security,Citizenship and Immigration Services,Immigration Examinations Fee,70-5088,No Year,No Year,70-5088 /X - Immigration Examinations Fee,$631.1M,"$3,323.3M",19.0%
Department of Homeland Security,United States Coast Guard,Retired Pay,70-0602,No Year,No Year,70-0602 /X - Retired Pay,$289.7M,"$1,663.7M",17.4%
Department of Homeland Security,United States Secret Service,Salaries and Expenses,70-0400,FY2014,2014,70-0400 /14 - Salaries and Expenses,$182.6M,"$1,550.7M",11.8%
Department of Homeland Security,National Protection and Programs Directorate,Federal Protective Service,70-0542,No Year,No Year,70-0542 /X - Federal Protective Service,$350.4M,"$1,534.9M",22.8%
Department of Homeland Security,Federal Emergency Management Agency,State and Local Programs,70-0560,FY2014,2014,70-0560 /14 - State and Local Programs,$310.3M,"$1,500.2M",20.7%
Department of Homeland Security,United States Coast Guard,"Acquisition, Construction, and Improvements",70-0613,FY2014-FY2018,2018,"70-0613 14/18 - Acquisition, Construction, and Improvements",$259.6M,"$1,262.3M",20.6%
Department of Homeland Security,Federal Emergency Management Agency,Salaries and Expenses,70-0700,FY2014,2014,70-0700 /14 - Salaries and Expenses,$347.3M,"$1,077.0M",32.2%
Department of Homeland Security,Transportation Security Administration,"Transportation Security Support, TSA, Homeland Security",70-0554,FY2014-FY2015,2015,"70-0554 14/15 - Transportation Security Support, TSA, Homeland Security",$423.9M,$976.1M,43.4%
Department of Homeland Security,National Protection and Programs Directorate,Infrastructure Protection and Information Security,70-0565,FY2014,2014,70-0565 /14 - Infrastructure Protection and Information Security,$296.0M,$963.8M,30.7%
Department of Homeland Security,Departmental Management and Operations,Working Capital Fund,70-4640,No Year,No Year,70-4640 /X - Working Capital Fund,$253.2M,$934.2M,27.1%
Department of Homeland Security,Transportation Security Administration,Federal Air Marshals,70-0541,FY2014,2014,70-0541 /14 - Federal Air Marshals,$83.7M,$826.6M,10.1%
Department of Homeland Security,U.S. Customs and Border Protection,Customs User Fees,70-5695,No Year,No Year,70-5695 /X - Customs User Fees,$198.5M,$753.2M,26.3%
Department of Homeland Security,Federal Emergency Management Agency,Firefighter Assistance Grants,70-0561,FY2014-FY2015,2015,70-0561 14/15 - Firefighter Assistance Grants,$680.0M,$680.0M,100.0%
Department of Homeland Security,Federal Emergency Management Agency,Firefighter Assistance Grants,70-0561,FY2013-FY2014,2014,70-0561 13/14 - Firefighter Assistance Grants,$21.0M,$641.8M,3.3%
Department of Homeland Security,Science and Technology,"Research, Development, Acquisitions and Operations",70-0800,FY2014-FY2018,2018,"70-0800 14/18 - Research, Development, Acquisitions and Operations",$449.3M,$547.8M,82.0%
Department of Homeland Security,Science and Technology,"Research, Development, Acquisitions and Operations",70-0800,FY2014-FY2016,2016,"70-0800 14/16 - Research, Development, Acquisitions and Operations",$217.6M,$543.4M,40.0%
Department of Homeland Security,U.S. Customs and Border Protection,"Air and Marine Interdiction, Operations, Maintenance, and Procur",70-0544,FY2014-FY2016,2016,"70-0544 14/16 - Air and Marine Interdiction, Operations, Maintenance, and Procur",$128.8M,$521.4M,24.7%
Department of Homeland Security,U.S. Customs and Border Protection,"Automation Modernization, Customs and Border Protection",70-0531,FY2014,2014,"70-0531 /14 - Automation Modernization, Customs and Border Protection",$190.9M,$517.1M,36.9%
Department of Homeland Security,Transportation Security Administration,Aviation Security,70-0550,FY2013-FY2014,2014,70-0550 13/14 - Aviation Security,$83.0M,$516.0M,16.1%
Department of Homeland Security,U.S. Customs and Border Protection,"Construction, Customs and Border Protection",70-0532,FY2014-FY2018,2018,"70-0532 14/18 - Construction, Customs and Border Protection",$139.5M,$472.8M,29.5%
Department of Homeland Security,U.S. Customs and Border Protection,"Salaries and Expenses, Customs and Border Protection",70-0530,No Year,No Year,"70-0530 /X - Salaries and Expenses, Customs and Border Protection",$148.2M,$437.6M,33.9%
Department of Homeland Security,U.S. Customs and Border Protection,Immigration User Fee,70-5087,No Year,No Year,70-5087 /X - Immigration User Fee,$6.1M,$433.0M,1.4%
Department of Homeland Security,United States Coast Guard,"Acquisition, Construction, and Improvements",70-0613,FY2013-FY2017,2017,"70-0613 13/17 - Acquisition, Construction, and Improvements",$268.7M,$427.4M,62.9%
Department of Homeland Security,Federal Law Enforcement Training Center,"Acquisition, Construction, Improvements and Related Expenses - F",70-0510,FY2013-FY2017,2017,"70-0510 13/17 - Acquisition, Construction, Improvements and Related Expenses - F",$381.4M,$398.3M,95.8%
Department of Homeland Security,Departmental Management and Operations,Office of the Chief Information Officer,70-0113,FY2014,2014,70-0113 /14 - Office of the Chief Information Officer,$68.7M,$394.6M,17.4%
Department of Homeland Security,Federal Emergency Management Agency,Disaster Assistance Direct Loan Program Account,70-0703,No Year,No Year,70-0703 /X - Disaster Assistance Direct Loan Program Account,$375.2M,$376.5M,99.7%
Department of Homeland Security,U.S. Customs and Border Protection,"Automation Modernization, Customs and Border Protection",70-0531,FY2014-FY2016,2016,"70-0531 14/16 - Automation Modernization, Customs and Border Protection",$135.8M,$360.2M,37.7%
Department of Homeland Security,U.S. Customs and Border Protection,"Border Security Fencing, Infrastructure, and Technology",70-0533,FY2014-FY2016,2016,"70-0533 14/16 - Border Security Fencing, Infrastructure, and Technology",$237.7M,$351.5M,67.6%
Department of Homeland Security,Federal Emergency Management Agency,Emergency Management Performance Grants,70-0718,FY2014,2014,70-0718 /14 - Emergency Management Performance Grants,$0.0M,$350.0M,0.0%
Department of Homeland Security,Transportation Security Administration,Aviation Security Capital Fund,70-5385,No Year,No Year,70-5385 /X - Aviation Security Capital Fund,$256.4M,$346.1M,74.1%
